"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source","Collection_year"
"161","FR6037","ERR5102089","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"162","FR6040","ERR5102090","2015","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"163","FR6041","ERR5102091","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"164","FR6064","ERR5102092","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"165","FR6069","ERR5102093","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"166","FR6070","ERR5102094","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"167","FR6080","ERR5102095","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"168","FR6081","ERR5102096","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"169","FR6083","ERR5102097","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"170","FR6085","ERR5102098","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"171","FR6093","ERR5102099","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"172","FR6142","ERR5102100","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"173","FR6143","ERR5102101","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"174","FR6152","ERR5102102","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"175","FR6160","ERR5102103","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"176","FR6163","ERR5102104","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"177","FR6164","ERR5102105","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"178","FR6173","ERR5102106","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"179","FR6174","ERR5102107","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"180","FR6183","ERR5102108","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"181","FR6194","ERR5102109","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"182","FR6237","ERR5102110","2017","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
"183","FR6238","ERR5102111","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"184","FR6239","ERR5102112","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"185","FR6241","ERR5102113","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"186","FR6246","ERR5102114","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"187","FR6247","ERR5102115","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"188","FR6270","ERR5102116","2017","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"189","FR6305","ERR5102117","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"190","FR6322","ERR5102118","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"191","FR6323","ERR5102119","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"192","FR6327","ERR5102120","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"193","FR6350","ERR5102121","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"194","FR6354","ERR5102122","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"195","FR6356","ERR5102123","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"196","FR6360","ERR5102124","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"197","FR6361","ERR5102125","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"198","FR6362","ERR5102126","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"199","FR6365","ERR5102127","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"200","FR6368","ERR5102128","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"201","FR6374","ERR5102129","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"202","FR6385","ERR5102130","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"203","FR6386","ERR5102131","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"204","FR6388","ERR5102132","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"205","FR6390","ERR5102133","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"206","FR6393","ERR5102134","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"207","FR6394","ERR5102135","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"208","FR6397","ERR5102136","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"209","FR6398","ERR5102137","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"210","FR6403","ERR5102138","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"211","FR6415","ERR5102139","2017","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"212","FR6419","ERR5102140","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"213","FR6424","ERR5102141","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"214","FR6428","ERR5102142","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"215","FR6462","ERR5102143","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"216","FR6463","ERR5102144","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"217","FR6466","ERR5102145","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"218","FR6469","ERR5102146","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"219","FR6470","ERR5102147","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"220","FR6497","ERR5102148","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"221","FR6510","ERR5102149","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"222","FR6520","ERR5102150","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"223","FR6522","ERR5102151","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"224","FR6525","ERR5102152","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"225","FR6527","ERR5102153","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"226","FR6537","ERR5102154","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"227","FR6538","ERR5102155","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"228","FR6539","ERR5102156","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"229","FR6548","ERR5102157","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"230","FR6568","ERR5102158","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"231","FR6573","ERR5102159","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"232","FR6585","ERR5102160","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"233","FR6589","ERR5102161","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"234","FR6596","ERR5102162","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"235","FR6600","ERR5102163","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"236","FR6610","ERR5102164","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"237","FR6616","ERR5102165","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"238","FR6620","ERR5102166","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"239","FR6625","ERR5102167","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"240","FR6626","ERR5102168","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"241","FR6632","ERR5102169","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"242","FR6641","ERR5102170","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022",NA
"243","FR6643","ERR5102171","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"244","FR6686","ERR5102172","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022",NA
"245","CIP5456","ERR6044068","1953","France","Europe","Others","Lefrancq & Bouchez et al., 2022",NA
